Id,SalePrice
1461,205333.5
1462,181612.52
1463,222635.55
1464,141216.52
1465,251468.28
1466,142661.52
1467,306690.7
1468,200444.12
1469,129707.445
1470,118550.734
1471,125018.88
1472,345168.28
1473,144145.97
1474,275130.3
1475,156478.94
1476,136881.98
1477,148651.5
1478,91513.914
1479,156128.14
1480,137597.16
1481,325020.7
1482,139292.9
1483,230154.12
1484,143493.36
1485,153904.77
1486,256197.31
1487,134307.06
1488,307341.22
1489,207661.56
1490,68466.336
1491,83619.984
1492,147162.48
1493,216894.56
1494,163689.56
1495,277511.12
1496,308821.12
1497,144128.98
1498,151941.0
1499,111538.5
1500,82310.63
1501,159086.45
1502,171019.36
1503,144132.73
1504,123643.98
1505,150106.52
1506,318981.06
1507,239545.9
1508,249791.27
1509,112148.586
1510,122218.586
1511,176384.73
1512,120567.33
1513,110026.734
1514,384754.06
1515,130031.76
1516,180293.16
1517,202750.62
1518,197672.25
1519,390034.34
1520,110860.26
1521,157167.92
1522,100800.77
1523,201551.8
1524,134937.84
1525,219497.8
1526,303067.44
1527,179848.16
1528,209162.48
1529,80075.016
1530,225523.62
1531,229119.78
1532,127947.82
1533,185536.94
1534,144573.28
1535,107516.02
1536,91163.16
1537,123188.29
1538,125446.95
1539,112753.125
1540,111798.484
1541,192881.92
1542,172567.66
1543,243794.39
1544,126147.34
1545,169435.8
1546,258782.3
1547,173920.67
1548,165249.98
1549,84894.29
1550,122661.984
1551,106502.85
1552,99274.23
1553,163427.77
1554,134353.98
1555,203771.97
1556,185316.78
1557,216163.61
1558,97872.2
1559,82423.57
1560,132161.27
1561,206626.14
1562,175266.1
1563,121322.69
1564,200284.9
1565,169625.31
1566,249620.92
1567,99707.51
1568,98523.95
1569,114565.49
1570,191042.86
1571,136227.72
1572,176285.45
1573,383002.78
1574,217251.69
1575,259588.05
1576,163832.16
1577,136577.14
1578,154081.12
1579,319775.0
1580,165422.36
1581,179798.8
1582,99097.57
1583,136755.56
1584,160099.81
1585,179355.34
1586,84486.32
1587,127404.78
1588,87639.21
1589,131707.38
1590,150235.67
1591,227821.81
1592,239835.06
1593,148925.64
1594,220742.9
1595,176752.84
1596,173458.7
1597,143557.9
1598,170614.77
1599,231326.58
1600,230854.25
1601,114626.87
1602,263611.53
1603,164141.66
1604,204041.67
1605,124829.18
1606,128014.766
1607,104983.46
1608,223780.1
1609,140814.52
1610,114278.72
1611,125023.48
1612,370420.03
1613,188995.73
1614,233598.17
1615,124710.055
1616,78333.29
1617,112037.38
1618,269602.97
1619,253761.5
1620,320170.12
1621,161605.06
1622,411943.66
1623,220167.23
1624,94021.08
1625,152401.98
1626,129112.59
1627,189734.81
1628,328938.62
1629,196302.14
1630,228742.3
1631,129019.75
1632,213780.62
1633,237662.78
1634,160209.22
1635,183737.78
1636,228470.02
1637,211557.3
1638,169886.97
1639,501776.47
1640,102610.06
1641,177234.31
1642,198807.3
1643,120175.266
1644,200308.7
1645,119088.2
1646,475202.53
1647,174138.5
1648,135369.95
1649,153972.42
1650,285052.53
1651,314072.6
1652,183664.3
1653,199111.69
1654,131409.52
1655,127409.01
1656,148225.22
1657,276333.03
1658,235283.67
1659,139329.97
1660,275860.1
1661,138894.22
1662,171009.6
1663,110745.39
1664,138339.42
1665,111871.42
1666,180156.1
1667,143234.38
1668,141645.86
1669,259573.44
1670,147545.9
1671,93633.125
1672,185602.81
1673,252675.42
1674,155042.03
1675,162680.45
1676,135623.73
1677,206648.86
1678,107408.87
1679,219954.48
1680,166820.62
1681,222961.19
1682,201164.69
1683,179091.14
1684,98716.664
1685,386228.06
1686,111415.97
1687,289086.12
1688,105688.21
1689,124782.43
1690,195038.52
1691,144655.98
1692,313729.6
1693,94105.74
1694,124551.164
1695,216650.08
1696,89794.65
